Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
L.D. 1/1,Matt 1,Gen 1,Romans 1,1Thess 1,Job 1,Psalm 1,Prov 1,Joshua 1,Isaiah 1,Acts 1
Mon 1/2,Matt 2,Gen 2,Romans 2,1Thess 2,Job 2,Psalm 2,Prov 2,Joshua 2,Isaiah 2,Acts 2
Tue 1/3,Matt 3,Gen 3,Romans 3,1Thess 3,Job 3,Psalm 3,Prov 3,Joshua 3,Isaiah 3,Acts 3
Wed 1/4,Matt 4,Gen 4,Romans 4,1Thess 4,Job 4,Psalm 4,Prov 4,Joshua 4,Isaiah 4,Acts 4
Thu 1/5,Matt 5,Gen 5,Romans 5,1Thess 5,Job 5,Psalm 5,Prov 5,Joshua 5,Isaiah 5,Acts 5
Fri 1/6,Matt 6,Gen 6,Romans 6,2Thess 1,Job 6,Psalm 6,Prov 6,Joshua 6,Isaiah 6,Acts 6
Sat 1/7,Matt 7,Gen 7,Romans 7,2Thess 2,Job 7,Psalm 7,Prov 7,Joshua 7,Isaiah 7,Acts 7
L.D. 1/8,Matt 8,Gen 8,Romans 8,2Thess 3,Job 8,Psalm 8,Prov 8,Joshua 8,Isaiah 8,Acts 8
Mon 1/9,Matt 9,Gen 9,Romans 9,1Tim 1,Job 9,Psalm 9,Prov 9,Joshua 9,Isaiah 9,Acts 9
Tue 1/10,Matt 10,Gen 10,Romans 10,1Tim 2,Job 10,Psalm 10,Prov 10,Joshua 10,Isaiah 10,Acts 10
Wed 1/11,Matt 11,Gen 11,Romans 11,1Tim 3,Job 11,Psalm 11,Prov 11,Joshua 11,Isaiah 11,Acts 11
Thu 1/12,Matt 12,Gen 12,Romans 12,1Tim 4,Job 12,Psalm 12,Prov 12,Joshua 12,Isaiah 12,Acts 12
Fri 1/13,Matt 13,Gen 13,Romans 13,1Tim 5,Job 13,Psalm 13,Prov 13,Joshua 13,Isaiah 13,Acts 13
Sat 1/14,Matt 14,Gen 14,Romans 14,1Tim 6,Job 14,Psalm 14,Prov 14,Joshua 14,Isaiah 14,Acts 14
L.D. 1/15,Matt 15,Gen 15,Romans 15,2Tim 1,Job 15,Psalm 15,Prov 15,Joshua 15,Isaiah 15,Acts 15
Mon 1/16,Matt 16,Gen 16,Romans 16,2Tim 2,Job 16,Psalm 16,Prov 16,Joshua 16,Isaiah 16,Acts 16
Tue 1/17,Matt 17,Gen 17,1Cor 1,2Tim 3,Job 17,Psalm 17,Prov 17,Joshua 17,Isaiah 17,Acts 17
Wed 1/18,Matt 18,Gen 18,1Cor 2,2Tim 4,Job 18,Psalm 18,Prov 18,Joshua 18,Isaiah 18,Acts 18
Thu 1/19,Matt 19,Gen 19,1Cor 3,Titus 1,Job 19,Psalm 19,Prov 19,Joshua 19,Isaiah 19,Acts 19
Fri 1/20,Matt 20,Gen 20,1Cor 4,Titus 2,Job 20,Psalm 20,Prov 20,Joshua 20,Isaiah 20,Acts 20
Sat 1/21,Matt 21,Gen 21,1Cor 5,Titus 3,Job 21,Psalm 21,Prov 21,Joshua 21,Isaiah 21,Acts 21
L.D. 1/22,Matt 22,Gen 22,1Cor 6,Philemon,Job 22,Psalm 22,Prov 22,Joshua 22,Isaiah 22,Acts 22
Mon 1/23,Matt 23,Gen 23,1Cor 7,James 1,Job 23,Psalm 23,Prov 23,Joshua 23,Isaiah 23,Acts 23
Tue 1/24,Matt 24,Gen 24,1Cor 8,James 2,Job 24,Psalm 24,Prov 24,Joshua 24,Isaiah 24,Acts 24
Wed 1/25,Matt 25,Gen 25,1Cor 9,James 3,Job 25,Psalm 25,Prov 25,Judges 1,Isaiah 25,Acts 25
Thu 1/26,Matt 26,Gen 26,1Cor 10,James 4,Job 26,Psalm 26,Prov 26,Judges 2,Isaiah 26,Acts 26
Fri 1/27,Matt 27,Gen 27,1Cor 11,James 5,Job 27,Psalm 27,Prov 27,Judges 3,Isaiah 27,Acts 27
Sat 1/28,Matt 28,Gen 28,1Cor 12,1Peter 1,Job 28,Psalm 28,Prov 28,Judges 4,Isaiah 28,Acts 28
L.D. 1/29,Mark 1,Gen 29,1Cor 13,1Peter 2,Job 29,Psalm 29,Prov 29,Judges 5,Isaiah 29,Acts 1
Mon 1/30,Mark 2,Gen 30,1Cor 14,1Peter 3,Job 30,Psalm 30,Prov 30,Judges 6,Isaiah 30,Acts 2
Tue 1/31,Mark 3,Gen 31,1Cor 15,1Peter 4,Job 31,Psalm 31,Prov 31,Judges 7,Isaiah 31,Acts 3
Wed 2/1,Mark 4,Gen 32,1Cor 16,1Peter 5,Job 32,Psalm 32,Prov 1,Judges 8,Isaiah 32,Acts 4
Thu 2/2,Mark 5,Gen 33,2Cor 1,2Peter 1,Job 33,Psalm 33,Prov 2,Judges 9,Isaiah 33,Acts 5
Fri 2/3,Mark 6,Gen 34,2Cor 2,2Peter 2,Job 34,Psalm 34,Prov 3,Judges 10,Isaiah 34,Acts 6
Sat 2/4,Mark 7,Gen 35,2Cor 3,2Peter 3,Job 35,Psalm 35,Prov 4,Judges 11,Isaiah 35,Acts 7
L.D. 2/5,Mark 8,Gen 36,2Cor 4,1John 1,Job 36,Psalm 36,Prov 5,Judges 12,Isaiah 36,Acts 8
Mon 2/6,Mark 9,Gen 37,2Cor 5,1John 2,Job 37,Psalm 37,Prov 6,Judges 13,Isaiah 37,Acts 9
Tue 2/7,Mark 10,Gen 38,2Cor 6,1John 3,Job 38,Psalm 38,Prov 7,Judges 14,Isaiah 38,Acts 10
Wed 2/8,Mark 11,Gen 39,2Cor 7,1John 4,Job 39,Psalm 39,Prov 8,Judges 15,Isaiah 39,Acts 11
Thu 2/9,Mark 12,Gen 40,2Cor 8,1John 5,Job 40,Psalm 40,Prov 9,Judges 16,Isaiah 40,Acts 12
Fri 2/10,Mark 13,Gen 41,2Cor 9,2John,Job 41,Psalm 41,Prov 10,Judges 17,Isaiah 41,Acts 13
Sat 2/11,Mark 14,Gen 42,2Cor 10,3John,Job 42,Psalm 42,Prov 11,Judges 18,Isaiah 42,Acts 14
L.D. 2/12,Mark 15,Gen 43,2Cor 11,Jude,Eccles 1,Psalm 43,Prov 12,Judges 19,Isaiah 43,Acts 15
