Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
2023-01-01,Matthew 1,Genesis 1,Romans 1,1 Thessalonians 1,Job 1,Psalms 1,Proverbs 1,Joshua 1,Isaiah 1,Acts 1
2023-01-02,Matthew 2,Genesis 2,Romans 2,1 Thessalonians 2,Job 2,Psalms 2,Proverbs 2,Joshua 2,Isaiah 2,Acts 2
2023-01-03,Matthew 3,Genesis 3,Romans 3,1 Thessalonians 3,Job 3,Psalms 3,Proverbs 3,Joshua 3,Isaiah 3,Acts 3
2023-01-04,Matthew 4,Genesis 4,Romans 4,1 Thessalonians 4,Job 4,Psalms 4,Proverbs 4,Joshua 4,Isaiah 4,Acts 4
2023-01-05,Matthew 5,Genesis 5,Romans 5,1 Thessalonians 5,Job 5,Psalms 5,Proverbs 5,Joshua 5,Isaiah 5,Acts 5
2023-01-06,Matthew 6,Genesis 6,Romans 6,2 Thessalonians 1,Job 6,Psalms 6,Proverbs 6,Joshua 6,Isaiah 6,Acts 6
2023-01-07,Matthew 7,Genesis 7,Romans 7,2 Thessalonians 2,Job 7,Psalms 7,Proverbs 7,Joshua 7,Isaiah 7,Acts 7
2023-01-08,Matthew 8,Genesis 8,Romans 8,2 Thessalonians 3,Job 8,Psalms 8,Proverbs 8,Joshua 8,Isaiah 8,Acts 8
2023-01-09,Matthew 9,Genesis 9,Romans 9,1 Timothy 1,Job 9,Psalms 9,Proverbs 9,Joshua 9,Isaiah 9,Acts 9
2023-01-10,Matthew 10,Genesis 10,Romans 10,1 Timothy 2,Job 10,Psalms 10,Proverbs 10,Joshua 10,Isaiah 10,Acts 10
2023-01-11,Matthew 11,Genesis 11,Romans 11,1 Timothy 3,Job 11,Psalms 11,Proverbs 11,Joshua 11,Isaiah 11,Acts 11
2023-01-12,Matthew 12,Genesis 12,Romans 12,1 Timothy 4,Job 12,Psalms 12,Proverbs 12,Joshua 12,Isaiah 12,Acts 12
2023-01-13,Matthew 13,Genesis 13,Romans 13,1 Timothy 5,Job 13,Psalms 13,Proverbs 13,Joshua 13,Isaiah 13,Acts 13
